INDEX,YEAR,WEEK No. (1-52),DATE,MONTH,.DBT1,.WBT1,.DBT2,.WBT2,Max temperature ,Minimum Temperature,Grass Minimum temp ,Soil Temp MP1,Soil Temp MP2,Soil Temp MP3,Soil Temp MP4,Soil Temp MP5,Soil Temp MP6,Vapour pressure for hour-1,vapour pressure for hour-2,Relative Humidity for hour-1,Relative Humidity for hour2,Mean Wind Speed,Wind Direction for hour-1,Wind Direction for hour-2,.SSH,Rain in past (MM),,,,
42132,2015,1,1,1,8.0,8.0,21.0,15.4,14.0,6.5,1.9,8.4,10.4,11.9,22.4,16.4,14.1,8.0,9.7,100,52,4.8,0,7,2.2,0.0,,,,
42132,2015,1,2,1,11.2,11.0,15.8,15.4,21.0,8.5,5.2,11.4,12.9,13.6,16.4,14.9,14.4,9.7,12.9,97,96,2.1,9,11,5.6,0.0,,,,
42132,2015,1,3,1,12.0,12.0,16.0,14.4,16.5,8.7,6.0,12.4,13.1,13.7,17.4,15.4,14.7,10.5,11.3,100,83,4.0,0,16,0.0,2.6,,,,
42132,2015,1,4,1,8.4,7.0,13.6,12.6,16.0,6.8,5.2,10.0,12.4,13.4,16.4,14.4,14.0,6.7,10.3,81,89,1.2,0,5,0.0,0.0,,,,
42132,2015,1,5,1,8.4,8.4,15.8,13.8,14.2,7.5,6.1,10.9,12.4,13.4,21.4,16.4,14.9,8.3,10.6,100,79,3.2,32,32,0.0,0.0,,,,
42132,2015,1,6,1,9.4,9.4,13.2,12.0,16.7,7.8,4.2,11.4,12.9,13.9,16.9,14.9,14.5,8.8,9.8,100,86,4.3,27,2,5.0,0.0,,,,
42132,2015,1,7,1,8.4,8.4,13.0,11.8,14.1,7.3,3.2,10.4,11.9,12.9,17.4,14.1,13.6,8.3,9.7,100,86,3.2,27,36,0.0,0.0,,,,
42132,2015,2,8,1,7.2,7.2,11.4,10.2,13.4,5.0,1.9,9.2,11.2,12.4,15.6,13.2,13.0,7.6,8.6,100,85,1.7,2,29,0.9,0.0,,,,
42132,2015,2,9,1,7.4,7.2,15.2,12.4,12.9,5.4,0.9,9.9,11.4,12.4,21.9,16.4,14.4,7.5,9.1,97,70,2.5,0,36,2.0,0.0,,,,
42132,2015,2,10,1,7.8,7.6,15.2,12.4,16.4,6.5,1.7,10.4,12.0,13.0,21.4,16.6,14.8,7.7,9.1,97,70,2.5,34,36,5.0,0.0,,,,
